Private Debt,Private Cost,Private Aid,Public Debt,Public Cost,Public Aid
28477,35217,14958,24100,10142,7585
40403,36474,14122,17000,10376,8651
26983,38477,28951,25660,22248,16238
20677,28639,23355,34015,18349,6996
25621,37802,21311,30060,18121,9704
33487,36964,20973,32873,14459,5813
22197,28595,23066,42045,17795,6929
25167,37166,29465,36031,18667,7356
29459,30858,21400,18307,4891,4147
24702,36755,26255,28905,14047,8677
30480,33087,21639,39972,24714,8905
21067,36641,27672,35958,14553,5767
38198,42347,18809,31681,10630,4831
39771,36043,12808,21869,15860,12964
32943,30208,16253,24127,14579,10858
28048,26793,19627,34270,16543,6242
32040,36147,23902,32368,14746,6545
34803,44110,18119,31400,17855,8476
32394,24364,14299,31535,11227,5247
29000,26910,11288,32968,11024,5387
30569,40830,24223,25596,18153,13381
36626,31086,12230,30391,17594,8800
36500,36878,17194,28999,26642,16329
37740,32669,12319,23056,16466,13265
30826,29774,13643,30087,16659,9018
16723,31169,25560,22918,18052,14693
23772,28094,18169,24074,13311,9984
24243,37403,28901,27307,16376,10588
28562,27903,16773,25824,12667,9301
36546,27006,19549,33193,15152,6278
30487,28067,14004,32438,5644,2470
31444,33232,20865,26899,15623,10540
29947,30575,16554,38101,16854,6152
22364,37422,24953,28272,21136,12701
33588,20779,14514,27483,19400,12997
31000,32052,16447,31373,19413,9017
28149,34668,21144,25180,14602,10425
28464,40229,21184,25797,15480,11699
27925,39462,28659,28768,13671,7944
25069,35797,19840,30017,11293,5951
29297,32752,16145,26357,13983,9760
27857,35118,15694,32517,16440,7105
30873,31971,22927,24978,22013,16868
27407,34911,24559,29049,15845,9658
28093,37091,17200,29844,15117,8456
34865,26418,13657,29349,11316,6341
25770,18736,11570,30006,20467,11207
28598,28360,12325,30234,14776,7615
37048,35577,18632,28220,15154,9513
36625,41034,15001,28509,14135,8974
21291,26213,19999,26696,11741,7983
15720,37866,31814,25678,21250,15325
19000,26723,18954,29182,17935,10742
31784,35933,17445,11915,19473,16293
29547,31182,21431,25174,23495,17960
30879,30611,19397,32771,17504,7278
30830,33124,15674,30818,17468,8880
30658,51336,19590,31571,17922,8187
30742,31079,19997,33312,18525,7510
32131,15588,6692,29334,16247,9624
37008,34981,17630,29448,16998,9814
15521,34182,28416,29805,13093,7507
28953,36894,21326,28095,17450,11134
39167,34104,16507,28276,14967,9354
35627,22600,9201,30578,14223,7298
20849,24744,19486,24611,12407,9688
24394,19032,14112,25028,11431,8910
32071,24418,10995,26401,21746,15283
29455,39206,18631,30034,20363,10661
40721,35135,12652,26972,16369,10512
32077,29720,18486,14715,17334,14767
21238,26390,21223,33320,16594,7070
27237,30860,23075,27592,11372,7522
34940,36780,24783,23396,18516,14746
26722,33905,18931,27488,14178,9283
26321,41691,25580,20077,12849,10660
40365,33808,14765,23588,7777,6124
19104,30799,26043,18929,19242,15433
26451,43407,25388,31255,6654,3213
35520,24465,12988,23500,13352,10590
26157,31307,24389,28179,10983,7194
8577,40802,34855,26580,17050,11608
30850,38665,26155,25464,18042,12801
34820,31502,18858,24628,11265,8710
23485,25146,19997,26912,13093,9083
25528,27331,22232,30091,13125,6534
19135,35453,29761,40994,17119,6369
26185,33148,24465,31711,8869,4242
33792,26127,17771,29605,12998,7663
23067,28552,21850,21461,14404,12141
23051,36829,28894,32170,20728,9302
22543,31126,16970,41372,16753,6019
38780,30495,11378,30994,14623,7172
33870,42967,17038,26300,15732,10830
35740,24171,13801,26087,12307,8852
33081,30671,20229,15679,16319,13407
31013,41472,21145,31006,19943,8441
31622,39870,25426,30123,13313,7075
21506,28713,23819,29677,16524,9349
34375,32981,13228,29885,16923,9328
